Proj_Ref,Calc_Stage,GIFA_(m2),No_storeys,Basement,Found_Type,Supstr_Type,Supstr_Cr_elems,Supstr_uw,Clad_Type,Concr(kg/m2),Masnry&Blwk(m2/m2),Reinf(kg/m2),Steel_Sec(kg/m2),Timber_Prod(kg/m2),Concrete_Carbon_(A1-A5)_(kgCO2e/m2),Masonry_& Blockwork_Carbon_(A1-A5)_(kgCO2e/m2),Reinforcement_Carbon_(A1-A5)_(kgCO2e/m2),Steel_(Sections)_Carbon_(A1-A5)_(kgCO2e/m2),Timber_(Products)_Carbon_(A1-A5)_(kg/m2),Total_Carbon_(A1-A5)_(kgCO2e/m2)
96,As_Built,340,1_to_3,TRUE,Mass(Pads/Strips),RC_Frame,Frame&Floors,high,Other,1163.5294,0.0441,39.2353,10,1.4706,107.2132,2.1679,83.545,15.9811,1.0012,209.9085
98,As_Built,4631,1_to_3,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1383.3297,0.0029,49.4515,2.8802,0,164.9487,0.1349,105.2988,4.6028,0,274.9851
99,As_Built,234,1_to_3,FALSE,Piled(Ground-beams/Caps),Timber_Frame(Glulam&CLT),No_elems,low,Other,829.2821,0.0556,25.6325,8.3248,71.1368,88.1679,1.7459,54.5801,13.304,33.8202,191.618
100,As_Built,11939,7_to_10,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,1231.8104,0.0009,80.8221,0.6486,0,181.9819,0.0274,172.0972,1.0365,0,355.1431
101,Stage_5,4640,7_to_10,FALSE,Mass(Pads/Strips),Timber_Frame(Glulam&CLT),No_elems,low,Other,558.4606,0,25.4825,9.8795,118.7927,65.3931,0,54.2608,15.7886,71.8038,207.2464
103,As_Built,4180,4_to_6,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,1888.2644,0,75.673,1.7943,0,192.9442,0,161.1329,2.8674,0,356.9445
104,Stage_4,15145,7_to_10,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1381.8316,0,57.4026,0,0,182.8728,0,122.2292,0,0,305.102
105,As_Built,4500,4_to_6,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1004.6768,0,42.6451,0.0351,0,133.3879,0,90.8056,0.0561,0,224.2496
106,As_Built,3900,4_to_6,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1367.4877,0,51.8618,0.0203,0,182.2158,0,110.431,0.0324,0,292.6792
107,As_Built,1724,1_to_3,FALSE,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,813.2332,0,45.4316,69.9217,0,86.4617,0,96.7389,111.7429,0,294.9434
108,As_Built,2772,1_to_3,FALSE,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Other,1017.0675,0,36.0029,105.6999,0,128.6004,0,76.6621,168.9205,0,374.183
109,As_Built,1555,4_to_6,TRUE,Piled(Ground-beams/Caps),Timber_Frame(Glulam&CLT),No_elems,low,Masonry,465.8521,0,20.1035,2.481,268.8746,62.381,0,42.8071,3.965,75.16,184.3132
110,As_Built,1874,1_to_3,FALSE,Mass(Pads/Strips),Timber_Frame(Glulam&CLT),No_elems,low,Masonry,869.7065,0,46.8159,25.008,158.0016,85.5541,0,99.6866,39.9657,95.1551,320.3615
111,As_Built,2349,7_to_10,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,2669.9012,0,207.4994,9.1954,0,288.3982,0,441.8352,14.6953,0,744.9287
113,As_Built,2100,1_to_3,FALSE,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,662.8571,0,35.0633,33.8629,0,69.968,0,74.6615,54.1167,0,198.7462
114,As_Built,15985,1_to_3,FALSE,Mass(Pads/Strips),Steel_Frame&Precast/Composite,Floors,medium,Masonry,809.6061,0,12.8763,81.6928,0,81.7824,0,27.418,130.5545,0,239.7549
115,As_Built,5705,4_to_6,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,972.6101,0,57.5023,0.1127,0,130.6263,0,122.4416,0.1802,0,253.248
116,Stage_5,3460,1_to_3,FALSE,Piled(Ground-beams/Caps),Timber_Frame(Glulam&CLT),No_elems,low,Masonry,807.2543,0,33.6205,26.1373,149.713,108.0973,0,71.5893,41.7704,90.3934,311.8504
117,Stage_5,11500,7_to_10,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1177.968,0,49.447,0,0,158.6327,0,105.2892,0,0,263.9219
118,Stage_5,9483,7_to_10,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,1435.4964,0,50.7363,0,0,192.2236,0,108.0344,0,0,300.258
121,Stage_5,11736,4_to_6,FALSE,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,860.0886,0,28.2178,80.2658,0,117.2144,0,60.0851,128.274,0,305.5735
135,Stage_5,125,4_to_6,FALSE,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,742,0,12,92,0,87.8953,0,25.552,147.0265,0,260.4738
123,As_Built,1712,4_to_6,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,2202.6671,0,107.6659,0.1787,0,231.4302,0,229.2565,0.2856,0,460.9724
125,As_Built,2139,1_to_3,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1206.1711,0,70.7246,16.8981,10.7634,130.0967,0,150.5963,27.0051,7.3283,315.0264
126,As_Built,1730,4_to_6,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,2265.4335,0,96.6179,35.2855,0,246.5122,0,205.7317,56.3903,0,508.6342
127,Stage_4,1074,4_to_6,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1935.7244,0,155.5829,0,0,278.5836,0,331.2877,0,0,609.8713
128,As_Built,1360,1_to_3,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,1549.4824,0,90.3191,15.1517,0,207.4871,0,192.3195,24.2141,0,424.0207
129,As_Built,862,1_to_3,FALSE,Piled(Ground-beams/Caps),Masonry&Concrete,Floors,high,Masonry,903.6323,0,31.3794,42.0731,14.9739,121.003,0,66.8171,67.2376,14.6666,269.7244
130,As_Built,2120,7_to_10,TRUE,Reinforced(Pads/Strips/Raft),Steel_Frame&Precast/Composite,Floors,medium,Masonry,662.8113,0,58.4986,50.766,0,99.0182,0,42.5846,106.5633,0,248.1662
131,Stage_5,10108,4_to_6,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1777.8913,0,88.6645,5.502,0,222.1972,0,188.7963,8.7928,0,419.7863
132,As_Built,1290,1_to_3,FALSE,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,1272.3984,0,32.8667,109.5837,0,84.0888,0,48.8938,150.2306,0,283.2132
133,As_Built,1513,1_to_3,FALSE,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Other,681.1798,0,19.5777,80.1496,0,242.9739,0,104.7145,281.9146,0,629.6029
137,As_Built,2395,4_to_6,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1594.2209,0,64.7683,0,0,484.804,0,479.5222,16.0812,0,980.4074
138,As_Built,10220,4_to_6,FALSE,Reinforced(Pads/Strips/Raft),Timber_Frame(Glulam&CLT),No_elems,low,Other,1081.365,0,52.774,2.3581,129.1253,98.3731,0,168.6975,3.4639,78.1784,348.7129
139,As_Built,5500,7_to_10,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1721.9345,0,147.2155,4.0276,0,36.7342,0,26.7754,77.9787,0,141.4883
140,As_Built,1729,1_to_3,TRUE,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,1060.6171,0,40,155.2157,0,191.8603,0,155.1039,1.331,0,348.2952
141,As_Built,1850,4_to_6,FALSE,Mass(Pads/Strips),RC_Frame,Frame&Floors,high,Masonry,1210.0259,0,68.0773,0.7784,0,91.5066,0,72.2074,8.2558,0,171.9698
142,As_Built,2054,1_to_3,FALSE,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,843.5638,0,30.5428,4.6529,0,82.8114,0,62.1933,0,0,145.0047
143,As_Built,1210,1_to_3,FALSE,Reinforced(Pads/Strips/Raft),RC_Frame,Frame&Floors,high,Other,1054.8554,0,49.581,0,0,392.6849,0,381.3037,0,0,773.9885
144,Stage_5,2769,1_to_3,FALSE,Mass(Pads/Strips),Timber_Frame(Glulam&CLT),No_elems,low,Other,1163.3973,0,19.6555,0.9639,114.74,144.0748,0,41.853,1.5404,69.2775,256.7457
149,As_Built,500,1_to_3,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,1767.854,0,168.764,27,0,231.5603,0,359.3547,43.1491,0,634.0641
150,As_Built,1900,1_to_3,TRUE,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Other,1669.8947,0,28.8284,61.1474,0,177.5406,0,61.3853,97.7205,0,336.6463
151,As_Built,3023,1_to_3,FALSE,Mass(Pads/Strips),RC_Frame,Frame&Floors,high,Masonry,1420.5412,0,42.7998,0.4902,0,151.0297,0,91.135,0.7835,0,242.9481
152,As_Built,21500,4_to_6,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1168.388,0,65.6643,0,0,156.4558,0,139.8211,0,0,296.2769
153,As_Built,3268,1_to_3,TRUE,Reinforced(Pads/Strips/Raft),Timber_Frame(Glulam&CLT),No_elems,low,Masonry,484.1518,0,16.0037,5.9422,120.9051,59.0459,0,34.0771,9.4963,33.7973,136.4166
155,Stage_4,1760,1_to_3,FALSE,Mass(Pads/Strips),Steel_Frame&Precast/Composite,Floors,medium,Other,1026.5065,0,22.4247,35.584,0,112.0014,0,47.7497,56.8672,0,216.6183
156,As_Built,12665,4_to_6,TRUE,Reinforced(Pads/Strips/Raft),Steel_Frame&CLT,No_elems,low,Other,972.1911,0,15.0712,56.0561,64.0742,131.8906,0,32.0916,89.5841,17.911,271.4774
159,As_Built,312,1_to_3,FALSE,Mass(Pads/Strips),Steel_Frame&CLT,No_elems,low,Other,1343.8782,0,19.7308,43.9038,8.5128,127.6677,0,42.0134,70.1634,8.3381,248.1826
161,As_Built,3657,1_to_3,FALSE,Reinforced(Pads/Strips/Raft),Steel_Frame&Precast/Composite,Floors,medium,Other,1024.4463,0,7.2253,37.3503,0,97.6454,0,15.3851,59.69,0,172.7205
163,Stage_4,6941,1_to_3,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1302.6672,0,83.3111,9.4776,0,174.9343,0,177.397,15.1463,0,367.4775
164,As_Built,2404,1_to_3,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1028.4734,0,91.5982,21.7762,0,109.9539,0,195.043,34.8009,0,339.7977
165,As_Built,1930,1_to_3,FALSE,Mass(Pads/Strips),RC_Frame,Frame&Floors,high,Masonry,1046.3192,0,63.6798,17.257,0,105.0365,0,135.5955,27.5787,0,268.2106
166,As_Built,2575,4_to_6,TRUE,Mass(Pads/Strips),Steel_Frame&Precast/Composite,Floors,medium,Other,1025.1477,0,6.7431,46.3612,0,99.3077,0,14.3582,74.0904,0,187.7564
167,As_Built,4787,4_to_6,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1195.5467,0,50.4427,0,0,160.0925,0,107.4092,0,0,267.5017
168,Stage_3,3851,7_to_10,FALSE,Piled(Ground-beams/Caps),Masonry&Concrete,Floors,high,Masonry,857.7841,2.9856,50.226,0.077,0,124.9088,0,106.9479,0.123,0,231.9798
169,As_Built,307,1_to_3,FALSE,Mass(Pads/Strips),Steel_Frame&Precast/Composite,Floors,medium,Other,895.1337,0,8.4279,48.6645,0,89.146,0,17.9459,77.7714,0,184.8633
173,As_Built,587,1_to_3,FALSE,Mass(Pads/Strips),RC_Frame,Frame&Floors,high,Other,2038.7043,0,71.3782,0,0,257.5243,0,151.9879,0,0,409.5122
174,As_Built,6975,7_to_10,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1461.5735,0,74.8261,0,0,155.3922,0,159.3297,0,0,314.7218
175,As_Built,2475,7_to_10,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1376.9349,0,85.8925,0,0,146.3935,0,182.8938,0,0,329.2873
176,As_Built,4950,4_to_6,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1197.0358,0,55.1261,0,0,160.3605,0,117.3817,0,0,277.7422
185,Stage_4,10779,7_to_10,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1390.2588,0,74.8864,0,0,186.9554,0,159.458,0,0,346.4133
186,Stage_4,9083,7_to_10,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1565.0336,0,81.9773,0,0,210.5064,0,174.557,0,0,385.0634
187,Stage_4,8137,7_to_10,TRUE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1180.7398,0,63.9985,0,0,158.8154,0,136.2742,0,0,295.0896
190,As_Built,707,1_to_3,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,2011.698,0,90.8034,0,0,207.9612,0,193.3507,0,0,401.3119
191,As_Built,707,1_to_3,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Other,2011.698,0,90.8034,0,0,207.9612,0,193.3507,0,0,401.3119
193,As_Built,3734,4_to_6,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,768.97,0,52.8618,0,0,80.5289,0,112.5604,0,0,193.0893
194,As_Built,4200,7_to_10,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,915.4307,0,60.9979,0,0,96.6749,0,129.8847,0,0,226.5597
195,As_Built,5600,7_to_10,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1032.8143,0,43.0421,0,0,138.1479,0,91.6511,0,0,229.799
197,As_Built,33,1_to_3,FALSE,Mass(Pads/Strips),Steel_Frame&CLT,No_elems,low,Other,1483.6364,0,27.4848,62.9697,33.4848,140.7532,0,58.5244,100.6328,14.454,314.3643
198,Stage_4,560,1_to_3,FALSE,Piled(Ground-beams/Caps),Steel_Frame&CLT,No_elems,low,Other,405,0,21.6429,41.7143,69.4643,49.1966,0,46.0848,66.6642,43.6355,205.5811
199,As_Built,821,1_to_3,FALSE,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,648.0548,0,17.3496,45.2619,0,132.7123,0,36.943,72.3337,0,241.9889
200,Stage_5,753,1_to_3,FALSE,Mass(Pads/Strips),Steel_Frame&Precast/Composite,Floors,medium,Other,473.9177,0,6.9044,8.6853,0,78.7709,0,14.7017,13.88,0,107.3526
201,Stage_4,365,1_to_3,FALSE,Mass(Pads/Strips),Steel_Frame&CLT,No_elems,low,Masonry,691.7808,0,18.6301,43.0137,12.6027,75.9881,0,39.6698,68.7408,12.3441,196.7428
203,Stage_5,854,4_to_6,TRUE,Reinforced(Pads/Strips/Raft),RC_Frame,Frame&Floors,high,Masonry,1118.0553,0,79.2633,2.8267,0,117.9312,0,168.778,4.5174,0,291.2266
205,Stage_4,631,1_to_3,FALSE,Piled(Ground-beams/Caps),Steel_Frame&Precast/Composite,Floors,medium,Masonry,1154.6751,0,0,82.0674,0,154.6195,0,0,131.153,0,285.7725
207,Stage_4,313,1_to_3,TRUE,Reinforced(Pads/Strips/Raft),Steel_Frame&CLT,No_elems,low,Masonry,568.2172,0,18.3552,64.7686,5.0978,72.7134,0,39.0843,103.5076,4.9932,220.2986
223,Stage_4,286,4_to_6,TRUE,Reinforced(Pads/Strips/Raft),Steel_Frame&CLT,No_elems,low,Other,1240.986,0,70.958,9.951,19.3566,162.0326,0,151.0933,15.9029,12.6192,341.648
225,Stage_5,2938,1_to_3,FALSE,Mass(Pads/Strips),Steel_Frame&CLT,No_elems,low,Other,838.1457,0,21.5942,38.1756,0,97.1991,0,45.9812,61.009,0,204.1893
226,Stage_5,2007,4_to_6,FALSE,Piled(Ground-beams/Caps),RC_Frame,Frame&Floors,high,Masonry,1374.8759,0,59.7335,0,0,184.1719,0,127.1925,0,0,311.3644
227,Stage_5,92,1_to_3,FALSE,Reinforced(Pads/Strips/Raft),Timber_Frame(Glulam&CLT),No_elems,low,Other,766.4348,0,2.9891,0,0,95.9303,0,6.3649,0,0,102.2952
